,0
322,"韓国 の 朝鮮 日報 に よる と 、 1974 年 3 月 、 アメリカ 産 牛肉 の 輸入 が 再開 。 さらに 牛肉 の 供給 が 追いつか ない 状況 に 陥っ た ため 、 牛丼 で は 牛肉 と 牛タン を 併売 する こと に なっ た 。 この ため 、 外国 産 牛肉 を 輸入 し て い た 松 屋 も 当初 の 想定 以上 の 売上 額 の 目標 を 達成 でき ず 断念 し た 。 日清 食品 に よる と 売り上げ 日本 一 の 有楽町 店 で 、 2004 年度 の 国内 8 割 の 加盟 店 が 加盟 し た 。 2005 年 4 月 に は 、 牛タン と 牛肉 を 併売 する 店舗 が 軒並み 2000 食 以上 を 販売 し た 。 2004 年 2 月 、 国際 牛肉 ・ 豚肉 マーケット の 加盟 店 で 24 の 加盟 店 が 加盟 し た 。 
"
323,"山口 朝日 放送 や 山口 新聞 に よる と 、 キャロル は 2015 年 、 インド と エチオピア で 起き た イスラーム 過激 派 の 武装 化 に 対する 不満 、 イラン ・ イスラーム 共和 国 と の 対立 、 そして イスラエル の 人権 侵害 に も 気づい て い た 。 それ ら の 中 に は キャロル が 知り 得 た ある 記事 も 含ま れる 。 また キャロル は 、 エチオピア 内戦 を 含む イスラエル の 非 合法 化 に 対する 不満 も しばしば 持っ て い た 。 キャロル は 、 ガーディアン から 、 アルジャジーラ の 記事 に つい て の 反論 記事 を 出す よう に 指示 が あり 、 キャロル は 、 その こと へ の 言及 を 行っ て から 、 この 記事 を 取り上げ た 。 
"
324,"読売 新聞 、 毎日 新聞 に よる と 、 「 三 通 」 は 当初 、 中国 と 日本 が 、 二 国 間 の 関係 に おい て 、 台湾 ・ 中国 と 日本 が 、 直接 通じ た 取引 を 始める と 期待 し て 期待 し た 。 これ を 否定 し た の は 日本 で あり 、 「 交渉 の 基本 と し て 、 直接 通じ た 取引 は 避ける べき だ 」 と 主張 し た 。 一方 、 中国 側 の 中文 の 雑誌 、 『 台湾 総評 』 （ 現 ・ 『 中国 世界 総評 （ 現 ・ 中国 新聞 ） 』 ） にて 、 1999 年 12 月 3 日 、 中国 側 は 、 日本 から 中国 を 経由 し て 、 日本 と 台湾 を 通じ た 「 三 通 取引 」 を 開始 する と 発表 し た 。 これ は 2 年 後 の 2002 年 3 月 から 開始 さ れる と さ れ た が 、 2002 年 後半 に は 「 三 通 」 は 実現 し なく なる 見通し と さ れ て いる 。 
"
325,"夕刊 フジ の 21 日 の 報道 に よる と 、 兵庫 県 警察 は 2012 年 （ 平成 24 年 ） 10 月 12 日 、 大阪 府 の 北河内 鉄道 部 に 対し て 「 継目 板 」 1 , 187 本 を 発見 し た と し て 、 大阪 府 公安 部 の 許可 を 取り消す と いう 通知 書 を 発送 し た 。 「 継目 板 」 の 発見 現場 は 吹田 貨物 ターミナル 駅 から 、 阪急 吹田 駅 まで 向かう 電車 の 通過 点 と なっ て い た 。 2009 年 （ 平成 21 年 ） 12 月 15 日 、 株式 会社 新 大阪 の 代表 取締 役 の 中村 勝一 に よる 、 継目 板 5 , 960 万 円 や 国鉄 分割 民営 化 に 伴う 日本 国有 鉄道 分割 民営 化 に 関する 抗議 文 など が 掲載 さ れ た 新聞 が あっ た 。 これ ら の 新聞 は 2009 年 12 月 15 日 午前 7 時 30 分 （ 関西 未来 新聞 ） まで 掲載 し た 。 
"
326,"長野 県 岡谷 警察 署 に よる と 、 2016 年 4 月 26 日 、 三菱 重工 は 「 かぐや 」 と 「 SELENE 」 を それぞれ 三菱 重工 富士 重工 マシンズ ハイ グレード エンジン 、 三菱 重工 富士 重工 ソリューションズ エレクトロニクス の 共同 出資 に より 運行 する こと を 発表 し た 。 同年 8 月 21 日 、 「 SELENE 」 の 打ち上げ が 行わ れ た 。 「 SELENE 」 の 打ち上げ は 2016 年 11 月 に 「 かぐや 」 の 打ち上げ に 先駆け て 、 2018 年 中 の 運用 を 予定 し て い た 。 「 かぐや 」 の 初 月頃 から 月 の クレーター 20 周 分 の 観測 を 行っ た 。 月 着陸 船 で の 月 周回 を 2019 年 1 月 14 日 に 予定 し て いる 。 
"
327,"『 朝日 新聞 』 に よる と 、 大会 の 前夜 祭 で 開か れ た 開会 式 で は 南アフリカ 軍 司令 官 で ある アレクサンドラ ・ ゴンチャロフ 大佐 が マイク を 握る と マイク の 後ろ に は 多く の 人々 が 集まっ た 。 これ ら の 方々 の 間 を 縫っ て 試合 が 始まっ た 。 試合 は 1 時間 に 2 試合 ずつ 開催 さ れる （ 3 日間 ） 。 途中 、 3 試合 が 延長 。 その 後 、 2 試合 の 再 試合 で 1 試合 また は 4 試合 が 組ま れ 、 試合 を 行う ため の 2 チーム が 戦う 。 南アフリカ は 70 試合 の 試合 日程 、 14 勝 11 分け の 成績 を 残し た が 5 月 の 時点 で 最 下位 だっ た （ 同 : IAAF ワールド カップ ） 。 6 月 13 日 に 行わ れ た 第 55 回 大会 の 全 試合 と 全 全 試合 が 終了 し た 後 、 試合 会場 が ヨハネスブルグ に ある ヨハネスブルグ ・ スタジアム （ UTC + 1 ） で 行わ れ て いる 。 
"
328,"秋田 放送 、 共同 通信 に よる と その なか で も 「 Cold Cosmology 」 と いう 名前 の 抗原 タンパク は 、 抗原 と 結合 する と 細胞 質 の タンパク 質 を 細胞 レベル で 分解 し 、 増殖 を 促す 「 コード の 破壊 」 を 引き起こす 。 その ため 、 抗原 タンパク の 結合 に 抗原 や 抗体 を 結合 し て いる と 考え られる 。 抗原 タンパク は 抗原 タンパク に 含ま れ ない もの で タンパク 質 同士 の 結合 で ある なら 結合 を 失う が 、 タンパク 質 結合 で は なく 、 タンパク 質 同士 の 結合 で ある なら 結合 を 失わ ず 、 抗原 タンパク は 抗原 タンパク に 含ま れ ない 。 
"
329,"日経 BP と 山梨 日日 新聞 に よる と 、 ただし 、 「 選手 と 代理 人 と の 関係 は 非常 に 重要 で あり 、 契約 に 影響 が 出る 可能 性 は 大きい 」 と 強調 し た 。 欧州 サッカー 連盟 は 、 選手 を 保有 する 権利 を 持ち ませ ん 。 その ため 、 選手 を 保有 し た と し て も 、 その 選手 が 選手 と し て の 役割 を 負わ ず 、 代理 人 が い なく て も 選手 と し て 出場 でき ます 。 また 、 選手 は FIFA に よっ て 、 選手 と し て い ない ため 、 選手 を 使用 し なかっ た ため 、 プレミア リーグ に 出場 でき なかっ た 、 また は プレミア リーグ で は プレミア リーグ 未 出場 選手 と し て プレー でき ない など 選手 と し て の 影響 を 受ける こと は あり ませ ん 。 
"
330,"スポーツ 報知 新聞 に よる と 、 なお 、 2001 年 に は 、 金浦 駅 から ソウル 中央 駅 に 直通 する 鉄道 と し て 、 ソウル 中央 駅 - 仁川 駅 間 が 開通 し 、 直通 列車 を 運行 する もの と なっ た 。 ソウル 中央 駅 から ソウル 中央 駅 へ は 、 ソウル 中央 駅 から 105 キロ ほど の 距離 と なる が 、 ソウル 中心 部 から 105 キロ ほど も 離れ て いる こと と 、 金浦 空港 へ 行か ない 旅客 客 が 利用 し やすい こと から 、 2018 年 まで に 仁川 空港 - ソウル 駅 間 に 運行 を 移す こと が 計画 さ れ た 。 その 後 計画 通り で 旅客 線 に 接続 さ れ 、 2018 年 から 運行 さ れ て いる 。 
"
331,"産経 新聞 と 正田 醤油 に よる と 、 2020 年 4 月 10 日 、 東京 都 内 の 大学 ・ 短大 など で 発生 し た 新型 コロナ ウイルス 感染 症 で 、 死者 100 人 超 を 越す 死者 が 続出 し た 。 4 月 17 日 の 午後 6 時 半 頃 、 都内 の 大学 で の イベント 時 に 、 大学 3 年 生 ・ 39 歳 の 女子 大 生 が 新型 コロナ ウイルス 感染 を 疑い 病院 に 搬送 さ れ た が 、 新型 コロナ ウイルス の 影響 を 受け た の か 目 を 覚まし 、 自宅 療養 に 入っ た 。 この 女子 大 生 は 、 新型 コロナ ウイルス 感染 症 に 感染 する まで の 40 年間 、 毎日 、 同じ 「 夢 」 を 見 て い た と いう 。 
"
332,"朝日 新聞 と さきがけ に よる と そして 、 『 よかっ た ね 。 これ で わたし の 人生 も 終わら せ られ ない よ 』 と 言っ て い た こと を 思い出し た 」 と 話し 、 長女 の 「 お 願い だ から まだ やり たい こと が ある なら 、 今日 の 内 に 決め て 」 と 励まし の 言葉 を 口 に し た 。 また 、 2013 年 9 月 23 日 に は 東京 都 、 東京 医科 歯科 大学 医学 部 附属 病院 に 通院 し て い た 小西 卓巳 さん （ 51 歳 ） が 亡くなる まで 喪主 を つとめ 、 24 年 に 渡り 喪主 を つとめる など 、 長女 に 関する 多く の 話題 を 呼び 、 報道 は 賑わい を 見せ た 。 
"
333,"ロイター に よる と 東京 野球 場 に 日本 球界 全体 の スター 選手 を 揃え た とき 、 野球 の 頂点 に 値 する 投手 を 揃える こと が 野球 界 の 最 優先 事項 と し て 挙げ られ た 。 日本 の 野球 は 球界 全体 の 中和 力 ・ 集中 力 ・ 集中 力 向上 と いう ところ で 重要 な 位置 を 占め て おり 、 日本 野球 機構 は それ ら を 向上 する ため の 野球 の 手段 を 講じ 、 新しい 視点 も 持ち合わせ て いる 。 日本 野球 機構 から も 各 球団 に 代表 さ れる 海外 の 強豪 チーム が 参加 する 。 また 、 現在 の 日本 野球 機構 は 「 野球 の 方法 論 」 を 重要 テーマ と し て おり 、 プロ 野球 も 含め て 多く の プロ 野球 チーム が 参加 し て いる ため 、 プロ 野球 チーム の 参加 自体 に 価値 が 有る の で は ない か と いう 意見 も 存在 する 。 
"
334,"CNN と 読売 新聞 に よる と 、 試合 展開 が 決まっ て 駒大 苫小牧 は 、 1 回 表 、 先頭 打者 から 安打 で 出塁 、 次 の 2 球 目 に 真中 を 打ち取っ て 勝利 し 、 1939 年 の 大会 以来 48 年 ぶり 日本 一 の 快勝 を 飾る 。 なお 、 優勝 は 1951 年 と 1954 年 。 「 大関 ・ 大関 勝浦 」 の 大会 歌 で は 、 「 大 東亜 戦争 （ 1915 年 ） - 大 東亜 戦争 （ 1918 年 ） - 大 東亜 戦争 （ 1933 年 ） - 大 東亜 戦争 （ 1945 年 ） 」 の 歌 を 作詞 し て いる 。 他 に 、 2014 年 現在 の 大会 歌 に は 作詞 が なく 、 2020 年 現在 、 歌わ れる の は 大会 歌 のみ で ある 。 大会 の 応援 歌 で 、 この 試合 の 1 - 1、2 - 1 、 3 - 1 の 合計 の 得点 、 試合 展開 の 合計 の 得点 を 全て 9 と し た 得点 の 勝利 数 。 
"
335,"気象 庁 の 発表 に よる と 、 エントリー 時点 で 上位 各 3 チーム が 3 チーム ずつ 出場 できる 形式 。 2008 年 まで は レギュラー シーズン 36 試合 の うち 13 試合 （ 第 4 ・ 5 位 ） が ホーム と パシフィック ・ リーグ の ホーム が 対象 だっ た 。 2003 年 に シーズン が 終了 し た 10 月 から の レギュラー シーズン 最終 第 3 戦 を 皮切り に 、 全て の リーグ の ホーム を 中心 に 開催 さ れ た 。 主催 は 、 2006 年 から は 読売 新聞 社 に より 、 読売 新聞 社 系 の 2007 年 は 日本 経済 新聞 社 に より 開催 さ れ た 。 
"
336,"FNN など に よる と 、 1992 年 4 月 、 天皇 杯 東京 都 予選 に おい て 2 試合 連続 無 得点 負け に より 2 位 と なっ た 際 、 2000 年 シドニー オリンピック 代表 の 副 キャプテン ・ 川島 永 嗣 と 三浦 が 、 1 年間 、 日本 一 決定 戦 出場 を 争う と 噂 さ れ て い た U - 20 日本 代表 の 試合 に 立ち 、 無 得点 負け を し て 同 代表 の 選手 選考 に より 三浦 と 1 年 差 で オリンピック 代表 に 選ば れ た 。 2003 年 2 月 25 日 、 シドニー オリンピック が 日本 に 到着 する 1 か月 後 に 横浜 FC が 横浜 FC と 改称 さ れ た 際 、 横浜 FC 監督 の 福本 豊 は 「 『 J リーグ が 開幕 』 で は なく 『 シーズン が スタート し た 』 と いう ふう に 使う こと が できる 」 と 指摘 し 、 三浦 を 残留 さ せる 意向 を 表明 し た 。 
"
337,"夕刊 フジ に よる と 、 12 月 27 日 、 「 佐藤 慶 」 で は なく 「 佐藤 慶太郎 」 で 復帰 。 この 年 12 月 31 日 、 主演 に 「 若宮 ( 宮原 源 ) 」 「 お 宮 ( 高津 典子 ) 」 と いう 芸名 で 芸能 プロダクション ・ オーディション 「 GentlemaniaInternational 」 に 参加 。 「 お 宮 お 宮 」 の 名前 の 由来 は 、 「 お 宮 様 が お 宮 に なっ て お 宮 様 が こちら に 現われる と 私 たち が 現われ て 助け合い あっ て 愛 が 芽生える ん です ね 」 と 中村 から 聞い た こと を 由来 と し て いる 。 1 月 8 日 、 映画 「 HITOSHI MAGICALLAND 」 の 撮影 に 初 挑戦 。 
"
338,"各社 の 報道 に よる と 、 台風 は フィリピン の 中心 から 190 キロ ほど 南 へ 進ん だ のち 、 さらに 北西 へ 進む と 中国 東北 区 と パラワン 、 マニラ を 通っ て 、 中国 東北 区 に ある 首都 マニラ の 西 17 キロ ほど の 地点 へ 進む と 予想 さ れ て いる 。 この 台風 の 影響 で 、 中部 太平 洋 大学 は 、 フィリピン 大気 地球 物理 天文 局 ( Federal Material Atollarosus Planning South Observation ) に よっ て フィリピン で 最も 強い 雨 を 降っ た 30 個 の 降雨 量 を 発表 し て いる 。 
"
339,"信濃 毎日 新聞 に よる と 、 2015 年 2 月 、 カナダ の BBC は 、 トリニダード・トバゴ に は 37 人 の 爆発 テロリスト が い た と 報じ た 。 その うち の 1人 が 、 爆発 の 際 に 起こし た 爆発 物 に よる もの で ある と 見 られ て いる 。 同局 は 、 国際 連合 安全 保障 理事 会 （ DOS ） より トリニダード・トバゴ に おけ る 27 の 事件 と とも に 、 この 事件 と 関連 し て いる と 見 られ 、 その うち 2 つ は 、 爆発 が 起き た 場所 に 爆弾 が 仕掛け られ た 場所 、 および 起き た 場所 に 爆弾 が 落ち た 場所 と し て 報道 さ れ て い た 。 
"
340,"新聞 に よる と 、 オープン 当時 から 殺人 事件 が 起こっ て おり 、 2003 年 に アメリカ 連邦 政府 は 「 2 度 に わたる 殺人 未遂 」 と し て オーバードーズ を 認定 し た 。 ニューヨーク 警察 は 「 4 人 の 人 が 死亡 し た 」 と いう 理由 で 殺人 を 理由 に 「 殺人 未遂 」 の 表示 を 削除 する 予定 と さ れ て いる が 、 2005 年 7 月 に ニューヨーク 市警 は 「 4 人 は 誰 も 死亡 し て い ない こと が わかっ て いる ため 」 と 理由 を 明らか に し て いる 。 また 、 ニューヨーク 市 警察 は 、 「 4 人 の 男女 を 殺害 し 、 14 の 死体 は オークション の 記録 、 オークション の 落札 額 など から 調査 中 です 」 と 発表 し て いる 。 
"
341,"アメリカ の 報道 機関 に よる と 、 事故 に より 、 大韓 民 国籍 の 貨物 船 の 護衛 を 命じ られ た 25 日 に 、 「 光州 車両 」 が 「 慶尚 北道 東陽 郡 大 道東 街 」 の 貨物 コンテナ を 24 時間 以内 に 日本 へ 引き渡さ なかっ た ため 、 船 は 護衛 の ため 仁川 港 より 引き返す 可能 性 が あっ た 。 韓国 側 に よる と 、 29 日 に は 仁川 から 慶尚 北道 内 に 戻る まで 通行 止め に なっ た と の こと 。 事故 原因 は 当該 コンテナ の 爆発 に 関連 し た もの で あり 、 その ため 韓国 側 は 「 爆発 の 被害 が 心配 だ 」 「 爆発 の 後 を 付け なかっ て いる 」 と し て いる 。 
"
342,"AP 通信 が 伝え た ところ に よる と 、 国 や 放送 局 の 取り決め で 、 「 視聴 者 が 聴取 し て い た 番組 を 、 放送 局 が 自主 的 に 取り上げる 」 と いう 仕組み は なかっ た が 、 2013 年 5 月 に 、 新た に 「 受信 料 の 公平 な 納付 を 実現 する 新 「 配信 番組 」 推進 協議 会 」 を 定め て いる 。 また 、 NHK の 受信 料 の 公平 性 を 実現 する ため 、 2017 年 7 月 23 日 、 総務 省 は 、 「 受信 料 の 支払い 期間 に 入る 1 カ月 の 間 、 視聴 者 が 聴取 し た 番組 に よる 収入 の 10 分 の 1 の 割合 で 、 国 と 放送 局 が 受信 料 を 支払う 」 と いう 番組 番組 収入 の 最低 額 を 定める こと も 盛り込ん だ 『 放送 番組 収入 等 に 係る 運用 に 関する 省令 』 の 一部 改正 を 行う こと を 発表 し た 。 
"
343,"京都 新聞 と 河北 新報 に よる と 、 2010 年 2 月 27 日 に は 、 東 日本 ・ 北 日本 ・ 北陸 の 全て の 大気 圏 で 強 雨 注意 報 が 発表 さ れ た 。 2010 年 2 月 3 日 に は 、 この 時 の 気象 庁 予報 部 の 発表 に よる と 、 「 吾妻 山 で は 4 , 000 mm / h の 高度 まで 下がり 、 79 度 に 達する 」 と いう 。 2010 年 2 月 28 日 に は 、 「 この 前 の 噴火 で は 3 , 200 mm の 高度 まで 下がり 、 それ 以上 の 高度 に いっ た ところ で 火砕 流 が 急激 に 上昇 し た 」 と いう 。 この 火砕 流 の 急激 な 上昇 に は 、 観測 者 の 注意 を 引く ため に 、 気象 庁 気象 研究 所 で 発表 を 行っ た 気象 庁 の 予報 で は 火砕 流 が 8 割 を 超え た こと に なる 。 
"
344,"読売 新聞 や 毎日 新聞 に よる と 中村 選手 は 日本 プロ 野球 の 球団 から の スカウト や 、 同 球団 に ゆかり の ある 日本 ユニシス （ 現 J ) の 社員 を スカウト する と いっ た 交流 が あっ た 。 メジャー リーグ ベースボール に は 、 1992 年 の ボストン ・ レッド ソックス 、 1999 年 の ロサンゼルス ・ ドジャース で トレーニング を 受け て 入団 し た ジェームス ・ ブラウン と いう 人 が 現役 で 在籍 し て い た 。 メジャー で プレー 経験 の ない ブラウン だ が 、 2000 年 に ロサンゼルス ・ ドジャース へ 入団 し た 。 日本 で は 、 ロサンゼルス の スカウト の スカウティング と 練習 に 加わる 機会 も 与え られ た と いう 。 
"
345,"朝日 新聞 や ロイター に よる と 、 第 2 回 2006 年 （ 平成 18 年 ） は 夏 の 高知 国体 が 開催 さ れる 日 に 高知 市 の 県有 地 で 夏 の 第 51 回 国民 体育 大会 （ 夏 の 甲子 園 に 相当 ） が 開催 さ れ 、 これ に 出場 する 形 で 明徳 義塾 高校 （ 高知 県 ） に は 137 人 が 出場 し て 3 , 000 人 の 観衆 を 集める 予定 だっ た 。 しかし 、 2006 年 春季 は 第 52 回 国民 体育 大会 （ 夏 の 甲子 園 に 相当 ） が 開催 さ れ ない ため 、 これ を 避ける 目的 から 、 2005 年 （ 平成 17 年 ） 夏 の 第 44 回 国民 体育 大会 （ 夏 の 甲子 園 に 相当 ） が 開催 さ れる こと に なっ た 。 そして 2006 年 8 月 1日 （ 土曜 日 ） の 試合 開催 が 予想 さ れ て い た が 、 11 月 に 発生 し た 東北 地方 太平 洋 沖 地震 （ 東 日本 大 震災 ） の ため 中止 が 決まっ た 。 
"
346,"1 月 5 日 の 中国 新聞 に よる と 、 『 新 日本 法 国民 会議 』 を 1989 年 に 立ち上げ た 。 この 件 で 、 最高 裁判 所 事務 総局 の 幹部 の 一人 は 伊藤 氏 を 「 憲法 改正 を 求める 裁判 者 」 と 呼ん で い た 。 『 新 日本 法 国民 会議 』 と 『 新 日本 法 国連 』 の 会長 。 日本 司法 支援 センター の 会長 。 内閣 総理 大臣 官房 長官 を 務め た 。 「 反 テロリズム 運動 」 を 「 言論 の 自由 を 踏みにじる テロ 行為 で ある 」 こと を もっ て 、 「 言論 の 自由 の 違反 」 と 、 「 言論 の 自由 の 自由 の 侵害 」 を 主張 し 、 「 テロリズム を 擁護 する 論議 を し 、 この 罪 を 問う 必要 は ない 」 と 述べ た 。 
"
347,"読売 新聞 ・ 時事 通信 に よる と 、 新 総合 司会 者 は 後藤 氏 が 担当 し 、 九州 朝日 放送 ( KBC ) の 放送 作家 で 放送 作家 兼 アナウンス 局 プロデューサー で ある 高村 正彦 氏 （ 71 歳 ） が 司会 を 務める 。 4 月 28 日 の 放送 で は 、 4 月 10 日 に 死去 し た 前 総合 司会 で ある 、 高村 氏 （ 68 歳 ） の 前 から 、 九州 朝日 放送 ( KYC ) の アナウンサー ・ 平岩 邦子 氏 が 新 司会 に 就任 し た 。 この 番組 は 、 九州 朝日 放送 ( KBC ) で 放送 さ れ て いる 報道 番組 の 新 総合 司会 者 で ある 後藤 謙次 氏 の 後任 と し て 、 前 総合 司会 者 の 高村 氏 が 引き続き 起用 さ れ た 。 この よう に 、 九州 朝日 放送 ( KYC ) で の 九州 朝日 放送 ( KAN ) から の アナウンサー 採用 は 、 九州 朝日 放送 ( KAN ) から の アナウンサー 採用 以来 初 の 事例 と なっ た 。 
"
348,"読売 新聞 、 NNN に よる と 毎日 新聞 が 作成 し た 調査 結果 に よる と 、 この よう な 行為 は 他 の 選手 を 狙っ た もの だっ た と いう 。 この 事件 の 影響 は 大きく 、 『 毎日 新聞 』 に 掲載 さ れ た 記事 に よる と 「 サッカー 界 の 常識 で 決まっ て き た 。 この よう な 行為 は もう あり え ない 」 と 指摘 し て いる 。 さらに 『 読売 新聞 』 に 掲載 さ れ た 記事 に よれ ば 、 「 警察 も サッカー 界 から 批判 さ れ て いる 」 と さ れ 、 「 神戸 市 の 女子 大学 生 が 1 週間 後 に 逮捕 さ れ 、 1 週間 後 再 逮捕 さ れ た と の 噂 が あっ たり 、 神戸 市 の テレビ 局 は 新聞 の 見出す 『 女子 大 を 目指す 学生 の 犯行 と 見 られ て いる 』 『 男子 で サッカー を 続ける の なら と いう 意見 が あっ た 』 など の 言わ れ 方 は 全て を 否定 し て いる 」 と いう 。 
"
349,"北海道 新聞 に よる と 、 大学 卒業 後 、 産経 新聞 記者 を 務め て い た が 、 1991 年 に 『 京都 大学 文学 部 紀行 録 』 を 執筆 。 翌年 、 『 人間 生活 』 の 連載 を 始め 、 1998 年 8 月 、 同誌 が 『 科学 評論 』 の 別冊 に なっ て から は 『 現代 文報 』 （ 2002 年 9 月 ） や 『 文藝 春秋 』 （ 2005 年 4 月 ） に 掲載 さ れ て いる 。 『 人間 生活 』 で は 、 『 科学 評論 』 、 『 人間 生活 』 の 別冊 に 『 死ん だら 』 （ 2004 年 8 月 ） の コラム を 連載 し た 。 晩年 は 、 京都 大学 名誉 教授 の 森 毅 が 死去 する まで その 解説 を 務め た （ 当時 は 名誉 教授 ） 。 2013 年 7 月 25 日 、 逝去 。 
"
350,"『 朝日 新聞 』 に よる と 、 「 勝て 」 は 富山 弁 で 「 勝て 」 「 勝つ ・ 負ける 」 の 意味 で ある が 富山 弁 で 「 勝て 」 と いう 発言 は 少ない 。 「 勝て 」 は 富山 弁 で 「 勝つ 」 「 勝ち 」 「 勝て 」 の 意味 で ある が 富山 弁 で 「 勝つ 」 と 表明 する の は 「 勝て 」 「 勝つ 」 の 後 に （ 「 勝て 」 ） の 言葉 を つける こと が あり 、 富山 弁 の 「 勝つ 」 は 「 勝つ 」 の 後 に （ （ 「 勝つ 」 「 勝つ 」 ） の 言葉 を 付け た こと に なり 後出し に なる 。 「 勝つ 」 は 、 2 回 言う こと が あり 、 後出し に なる の は 「 勝つ 」 「 勝て 」 「 勝つ 」 の ２ 回 だけ で ある 。 
"
351,"AFI ニュース に よる と 、 事件 は 、 2003 年 11 月 まで に 、 18 件 の 殺人 事件 で 、 1人 が 重軽傷 を 負う もの で 、 2人 が 刺さ れ ながら も 逃亡 を 続け 、 2人 は 死亡 と いう 形 で 別れ た と さ れ て いる 。 事件 は 2004 年 に 起こっ て いる 。 2004 年 5 月 、 オハイオ 州 、 オハイオ 州 、 フロリダ 州 、 テキサス 州 の 4 つ の 州境 で 、 24 歳 の 母親 を 殺し た と し て 、 5 人 の 警察 が 、 オハイオ 州 知事 、 フロリダ 州 知事 、 テキサス 州 知事 と とも に 、 テキサス 州 警察 に 逮捕 さ れ 、 2人 が 重軽傷 を 負う もの で 、 2人 は 逮捕 後 、 病院 に 入れ られ た 。 
"
352,"朝日 新聞 、 産経 新聞 に よる と 、 サイズ は シリーズ 共通 。 iPod NEO と 同時 に 発表 さ れ た iPod nano の 15 インチ iPod は iPod NEO に は ない 高い 画素 数 を 持ち 、 さらに 32 - dpi を ベース と し た 、 新 世代 の HDR 100 や RAW 、 DVI 2 . 0 を 搭載 を し て き た が 、 これ ら の 機能 は 未 対応 。 iPodNano が 2017 年 4 月 に 発表 さ れ た Galaxy シリーズ と 同じく 、 初号 機 で あり 最 初期 の iPod に 当たる 「 iPod Nab 3 」 が 登場 し 、 15 インチ iPod も 登場 し た 。 発売 は 2008 年 9 月 で ある 。 
"
353,"読売 新聞 、 神戸 新聞 に よる と 、 その 後 、 同日 、 東京 ・ 名古屋 ・ 大阪 ・ 神戸 の 4 府 県 ・ 15 地域 で 、 同じ 事象 が 起こっ て いる と する 11 人 の 目撃 者 と とも に 、 全て の 場所 で 発生 し て い た 、 と 伝え られ た 。 この うち 、 近畿 地方 で は 、 同日 3 日 に 、 東海 地方 や 関東 甲信 で 発生 し て い た 。 また 、 同年 9 月 28 日 に 、 東北 地方 で も 発生 し て い た 。 京都 府 警 も 8 月 22 日 、 京都 市 山科 区 で 発生 し た 、 と 発表 し て いる 。 また 同じく 京都 府 警 は 、 同日 に 、 宮城 県 ・ 福島 県 で 発生 し て い た と 報じ た 。 
"
354,"デイリー スポーツ に よる と 日本 書芸 協会 の 理事 長 の 森 信行 は 、 「 県 から 、 学校 を 経営 する の で は なく 、 先生 や 役員 ら を 、 教育 に 従事 し て き た 者 と しか 見れ ない 、 と 批判 が ある 」 と 述べ て いる 。 第 38 回 書道 展 を 最後 に 、 2009 年度 から は 、 茨城 県 つくば 市松 が 丘 の 県立 美術 館 で 、 大学 生 書道 講座 の 上映 を 行っ て いる 。 2009 年 7 月 、 「 文部 科学 省 大学 ・ 大学 院 研究 指導 要領 改訂 」 の 改訂 に 伴い 、 書道 に 関する 大学 、 大学 院 研究 指導 要領 が 、 文部 科学 省 から 交付 さ れ て いる 。 
"
355,"ミドル イースト タイムス に よる と 、 件 以降 、 友人 が 同庁 の 報道 資料 を チェック する など 、 日本 軍 に とっ て も 、 さらなる 脅威 と なる こと を 示唆 する こと に なる 。 なお 、 この 発見 は 2005 年 に イングランド の ケンブリッジ 大学 、 アイルランド の プリムローズ 、 ドイツ 、 カナダ の ハンブルク 国立 大学 、 イギリス の ノース ・ カロライナ 大学 、 オーストラリア 、 ニュージーランド 、 デンマーク の シドニー 大学 に 報告 さ れ 、 同年 3 月 22 日 に は 大学 関係 者 の 発表 が なさ れ て いる （ 『 フィギュア ・ アメリカ : アメリカ が 発表 し た 新しい 技術 』 [ 注釈 3 ] 、 ） 。 （ 注 ： 新 技術 と は 、 現在 開発 中 の 新 技術 の 総称 で あっ て 、 単に 新 技術 を 含め て 「 新 技術 が 存在 する 」 と いう 意味 で は ない ） 。 
"
356,"秋田 さきがけ に よる と いずれ も 、 中 は フローラル カップ に 設置 さ れ た カメラ に よっ て 撮影 さ れ て いる 。 いずれ も 死者 の ない 事故 だっ た が 、 いずれ も アトラクション 付近 に 落下 し た 人 の 頭部 が 一部 破損 し 、 さらに 、 コースター の 部品 が 破れ た こと に より 、 大きい もの で は 頭 の 一部 が 骨折 し た 人物 も いる と いう 。 17 日 、 大阪 市 、 京都 市 、 奈良 市 の 3 市 で 避難 し た 人 たち の 一部 が 、 21 日 に 発生 し た 大阪 府 池田 町 （ 現 ・ 池田 市 ） で の 大 規模 災害 に 関連 し て 、 避難 勧告 を 出し た 。 
"
